Date,Close,High,Low,Open,Volume,Daily_Return,Norm_Close,Rolling_Std,Rolling_Ann_Vol,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_High,BB_Low,BB_Mid,BB_Width,Volatility_20,SMA20_Signal,RSI_Signal,MA_Cross,Future_Close,signal,MACD_Crossover,Combined_Signal
2017-12-28,737.0230102539062,763.3189697265625,701.18701171875,762.2080078125,2389149952.0,-0.0338457641348258,2.2968518345744973,0.0800386523738954,1.270574216724462,698.5276000976562,519.4602416992187,730.7533605044175,659.6227844875335,59.66186688005389,71.13057601688399,1,-8.434229086399085,910.7573559965292,486.2978441987832,698.5276000976562,60.76488770642783,0.0911232160461494,1,0,1,0.2000221939093454,2,1,2
2017-12-29,753.5919799804688,770.1170043945312,729.6079711914062,740.3889770507812,2648969984.0,0.0224809395311205,2.34848722177951,0.0770964979763478,1.223868963596466,712.5320983886719,528.1144012451172,734.2669942699638,666.5834656351584,61.17370625290475,67.68352863480538,1,-9.505021174782158,898.9082763740457,526.1559204032981,712.5320983886719,52.313763381845405,0.091098432475487,1,0,1,0.27750824886442715,2,1,2
2017-12-30,717.2570190429688,753.8150024414062,685.2310180664062,753.8150024414062,3187780096.0,-0.0482156948358735,2.2352532785682406,0.0779940168510506,1.2381166340331669,726.3088989257812,536.4744818115234,731.6500750042721,670.3370621838851,56.19936956699312,61.31301282038703,1,-12.700429591360418,865.2823296972713,587.3354681542912,726.3088989257812,38.26840920633996,0.0901605987250487,0,0,1,0.367601809431088,2,1,2
2017-12-31,756.7329711914062,760.3480224609375,710.1190185546875,712.2119750976562,2554269952.0,0.0550373870179896,2.358275778344032,0.078149377014298,1.24058290016676,738.3887481689453,545.3155212402344,735.5089821099851,676.7367591474052,60.00453652626435,58.77222296257992,1,-12.19297555933403,838.3699887148458,638.4075076230448,738.3887481689453,27.080922019419653,0.0844534536701861,1,0,1,0.31845711589955816,2,1,2
2018-01-01,772.6409912109375,782.530029296875,742.0040283203125,755.7570190429688,2595760128.0,0.0210219729087335,2.407851387867702,0.0779985899555422,1.2381892298163923,744.4492462158203,554.6101812744141,741.2215988947471,683.8407763372965,61.45765069369285,57.38082255745064,1,-10.867500771570649,837.0324207409742,651.8660716906663,744.4492462158203,24.87293122956928,0.0624224109314508,1,0,1,0.3482070787861553,2,1,2
2018-01-02,884.4439697265625,914.8300170898438,772.3460083007812,772.3460083007812,5783349760.0,0.1447023647300922,2.756273177610793,0.0811788027041347,1.28867354211071,753.5330932617187,565.964740600586,763.2558097919496,698.7002721439087,69.77037971211288,64.55553764804085,1,-2.954228544784357,862.2244092401132,644.8417772833242,753.5330932617187,28.848451899548795,0.0677310105421547,1,0,1,0.303836176645345,2,1,2
2018-01-03,962.719970703125,974.4710083007812,868.4509887695312,886.0,5093159936.0,0.0885030636827819,3.000211798176025,0.0819466980255943,1.3008635024317818,766.8782928466796,578.4665197753907,793.9426037782843,718.2572868519987,73.99863774042403,75.68531692628551,1,6.540440586768227,905.39544573524,628.3611399581193,766.8782928466796,36.12493773278669,0.0694712092283828,1,-1,1,0.19300530190315168,2,1,1
2018-01-04,980.9219970703124,1045.0799560546875,946.0859985351562,961.7130126953124,6502859776.0,0.0189068752296615,3.056936428306697,0.0815812617454401,1.2950623813278108,781.7019927978515,591.4178198242188,822.7086642847501,737.7139320533553,74.87856941291496,84.99473223139478,1,12.679884713501991,943.2941463412136,620.1098392544893,781.7019927978515,41.34367189342704,0.0689805738478965,1,-1,1,0.32501870089188123,2,1,1
2018-01-05,997.719970703125,1075.3900146484375,956.3250122070312,975.75,6683149824.0,0.0171246782955041,3.1092854812112574,0.0792602287804345,1.2582171252666845,796.7775421142578,604.7537390136719,849.6334806568077,756.9736386200049,75.69600284005404,92.65984203680284,1,16.27599561512804,978.6397916215008,614.9152926070149,796.7775421142578,45.649441630764215,0.0689807220331063,1,-1,1,0.2586897958993908,2,1,1
2018-01-06,1041.6800537109375,1060.7099609375,994.6220092773438,995.1539916992188,4662219776.0,0.0440605423351729,3.2462822857883045,0.0792181411742738,1.2575490052316098,812.8627960205079,618.9394598388672,879.17910728052,778.0630027008146,77.73758383728345,101.1161045797054,1,19.785806526424462,1019.8764608234032,605.8491312176125,812.8627960205079,50.93446663234237,0.0691197378286938,1,-1,1,0.10871860279608114,2,1,1
2018-01-07,1153.1700439453125,1153.1700439453125,1043.010009765625,1043.010009765625,5569880064.0,0.1070290151349226,3.593728681686172,0.0803304922084286,1.2752070304734833,830.7890472412109,635.050620727539,921.3315590751037,805.8487094596663,81.89208911049226,115.4828496154372,1,27.32204124972501,1085.081561102321,576.4965333801008,830.7890472412109,61.21710793023466,0.06933237895106,1,-1,1,0.10408691056169572,2,1,1
2018-01-08,1148.530029296875,1266.9300537109375,1016.0499877929688,1158.260009765625,8450970112.0,-0.004023703765806,3.579268582056386,0.0806308722577396,1.2799754159291763,846.874398803711,650.9335015869141,956.285169878453,831.2325109290892,81.21282325655392,125.05265894936372,1,29.513480466921223,1136.3885588935816,557.3602387138403,846.874398803711,68.37239630784362,0.0693927454223629,1,-1,1,0.21583241911419138,2,1,1
2018-01-09,1299.739990234375,1320.97998046875,1145.489990234375,1146.0,7965459968.0,0.1316552089021738,4.050497934944008,0.0802864447738811,1.274507799127266,870.9070983886719,669.593701171875,1009.1243730101334,865.9367686554067,85.4487154585552,143.18760435472666,1,38.11874069782732,1220.7230157475756,521.0911810297682,870.9070983886719,80.33369299805302,0.0734166812305817,1,-1,1,0.05157187576015709,2,1,1
2018-01-10,1255.8199462890625,1417.3800048828125,1226.5999755859375,1300.3399658203125,9214950400.0,-0.0337914077240883,3.913625907738736,0.0776743961217578,1.2330428122517465,892.6449462890625,687.502080078125,1047.0775381299686,894.8170040356775,79.81936005873834,152.26053409429107,1,37.75333634991338,1279.4468761518374,505.84301642628776,892.6449462890625,86.66422892344879,0.074466669065915,1,-1,1,0.02874623688127076,1,1,1
2018-01-11,1154.9300537109375,1337.300048828125,1135.1700439453125,1268.0899658203125,7235899904.0,-0.0803378644177883,3.599213560180878,0.0670015430309653,1.0636165219051628,916.6484497070312,702.9876409912109,1063.670232834733,914.084637344956,68.63373317528254,149.5855954897769,1,28.062718196319352,1305.9859612740163,527.3109381400459,916.6484497070312,84.9480543367353,0.0627902034340472,1,0,1,-0.08765908548261436,0,1,2
2018-01-12,1273.199951171875,1296.0400390625,1120.0899658203125,1158.2900390625,5222300160.0,0.102404381183883,3.967788797559842,0.0678314254844287,1.0767904974408442,944.339096069336,720.2483203125,1095.9055741173702,940.6857717025056,73.34872848265316,155.2198024148645,1,26.95754009712556,1351.9663657023184,536.7118264363535,944.339096069336,86.33069865044608,0.0644251266735544,1,-1,1,-0.20338514067137137,0,1,1
2018-01-13,1396.4200439453125,1432.8800048828125,1270.469970703125,1270.469970703125,5746760192.0,0.0967798440928493,4.351790778781037,0.0688764477156644,1.093379711071145,979.4526977539062,738.6785009765625,1142.1385694755152,974.4438659427136,77.19500427811943,167.69470353280155,1,31.545952972050088,1414.8656645539054,544.0397309539071,979.4526977539062,88.90944254857716,0.0640680220863608,1,-1,1,-0.25790235266956796,0,1,1
2018-01-14,1366.77001953125,1400.56005859375,1286.2099609375,1397.47998046875,4841630208.0,-0.0212328837176327,4.259389711211713,0.0689854372633437,1.095109866503135,1009.4994995117188,756.6883813476562,1176.6972540994743,1003.5050625048276,74.41212478186651,173.19219159464683,1,29.63475282711628,1464.3066686314537,554.6923303919839,1009.4994995117188,90.1054768902251,0.0633809169678419,1,-1,1,-0.2397404385982148,0,1,1
2018-01-15,1291.9200439453125,1390.5899658203125,1290.5999755859375,1365.2099609375,4781100032.0,-0.0547641333335715,4.026127925147272,0.0705230232050699,1.1195182866303144,1035.4037017822266,773.1001824951172,1194.42383715268,1024.8691352041228,67.77018174281093,169.5547019485573,1,20.79781054482137,1492.5801075018887,578.2272960625644,1035.4037017822266,88.30882194698175,0.0661240932260658,1,0,1,-0.10586569979483929,0,1,2
2018-01-16,1053.68994140625,1292.6300048828125,875.5449829101562,1292.6300048828125,8405139968.0,-0.1844000359430501,3.283709791038797,0.0800076838752397,1.2700826070489406,1049.9460998535155,784.5668811035156,1172.7724685763062,1027.0040097376136,51.89365891610627,145.7684588386926,1,-2.390746052034672,1489.6883419155029,610.2038577915282,1049.9460998535155,83.76472699376444,0.0810936574601482,1,0,1,-0.003900564283718322,1,1,2
2018-01-17,1014.25,1090.22998046875,780.9219970703125,1061.3399658203125,8545160192.0,-0.0374303102425117,3.1607995148138417,0.0788102889738528,1.2510745522677025,1063.8074493408203,795.3938409423828,1148.3843964876437,1026.0592682755682,49.81307884619463,122.32512821207548,1,-20.66726134292145,1480.0710217601518,647.5438769214887,1063.8074493408203,78.2591948716407,0.0812215187558803,0,0,1,-0.01083558317414346,1,1,2
