Price,Close,High,Low,Open,Volume
Ticker,IBM,IBM,IBM,IBM,IBM
Date,,,,,
2010-01-04,72.46829986572266,72.75281079393253,71.59288296856715,71.77343562959243,6438444
2010-01-05,71.59288787841797,72.14002565983459,71.1825345423555,72.04700944253386,7156104
2010-01-06,71.12781524658203,71.94305083696864,71.02386134539931,71.49986699246067,5863144
2010-01-07,70.88162231445312,71.26461620542626,70.53145459998726,71.0567039885139,6109268
2010-01-08,71.59288787841797,71.63118507796473,70.6080416184055,70.61898367541885,4390271
2010-01-11,70.84332275390625,71.70779782261131,70.40014316040724,71.70779782261131,5993998
2010-01-12,71.4068603515625,71.85551525691699,70.58068264466687,70.59710009665497,8453249
2010-01-13,71.253662109375,71.74061420971339,70.66822712980765,71.3412029316167,6752348
2010-01-14,72.39170837402344,72.61056262028636,71.07857853010219,71.4287461973916,7438943
2010-01-15,72.10173034667969,72.70905386068107,71.72420751526171,72.23851480389592,8885142
2010-01-19,73.39299774169922,73.4531834445445,71.98138015599363,72.01968173647526,14556345
2010-01-20,71.2646255493164,71.75704882590004,70.55334796828947,71.37952591484571,15896585
2010-01-21,70.58067321777344,71.50533804772314,70.0663660385329,71.38496670305341,10050596
2010-01-22,68.66574096679688,70.52053414753084,68.59461319182375,70.40016708966196,10552676
2010-01-25,69.00494384765625,69.42623932625266,68.78061416797041,69.11983983596333,6002471
2010-01-26,68.8025131225586,69.89678470769594,68.61648498822993,68.89552500655036,7463524
2010-01-27,69.11980438232422,69.46450090312914,68.41399826028135,68.84076454959369,9120283
2010-01-28,67.7082290649414,69.50831139239098,67.32523514758223,69.50284036259619,10064821
2010-01-29,66.96412658691406,68.39215717609805,66.69603300549969,68.02010528719353,12103475
2010-02-01,68.21159362792969,68.36479555955022,67.17750787914461,67.4237173162643,7576073
2010-02-02,68.68212127685547,68.8353188165412,67.8176463269547,68.27723894601189,6171295
2010-02-03,68.7532958984375,68.9776213321047,68.43048751248978,68.47972680545664,4369247
2010-02-04,67.2978515625,68.63286531549788,67.24313691777662,68.49608088686097,9546737
2010-02-05,67.58238983154297,67.69181916528468,66.65772899017034,67.31976728998355,9013382
2010-02-08,66.98336029052734,67.7198057306321,66.9064188842291,67.68133283454544,5981551
2010-02-09,67.71428680419922,68.25837634739933,67.30209802213085,67.40651689960059,6322547
2010-02-10,67.49443817138672,67.95608634350616,67.16468634424957,67.56588403511039,5459179
2010-02-11,68.00007629394531,68.25838233932602,67.0822707708865,67.36805431646773,5323094
2010-02-12,68.14845275878906,68.17593025463181,66.83494512591444,67.60436325411686,8386514
2010-02-16,68.82442474365234,68.82442474365234,68.20888952732889,68.64855565932905,7089056
2010-02-17,69.42897033691406,69.53888907196647,68.8134394554124,68.97281767395319,6095460
2010-02-18,70.24237060546875,70.34678947716068,69.24762383833867,69.31906971450893,5780091
2010-02-19,69.9016342163086,70.37977339690559,69.7257694521084,69.9895665984087,6593043
2010-02-22,69.7147445678711,70.03350534868109,69.41797016268818,69.96205949610476,3983273
2010-02-23,69.50039672851562,70.15990018232638,69.24759072611418,69.51139210763849,4803127
2010-02-24,70.12145233154297,70.49517255062759,69.69277712659836,69.80819136864989,5001972
2010-02-25,69.83567810058594,69.92910597478088,69.01130057315056,69.27510208366962,5919000
2010-02-26,69.88514709472656,70.34679538604667,69.65432294906651,69.80271021312467,5004273
2010-03-01,70.6600570678711,70.80294882466842,70.05551265825827,70.07199915653331,4788274
2010-03-02,70.02802276611328,70.94582802399351,69.868644539251,70.73149042673548,6289912
2010-03-03,69.73126983642578,70.35779632628932,69.62135106169575,70.19841366434336,6683940
2010-03-04,69.64331817626953,69.83567379799472,68.95634133160488,69.83567379799472,6309786
2010-03-05,69.93462371826172,70.09949751150113,69.81920943146945,69.89065532665644,6422649
2010-03-08,69.47294616699219,70.07199061831344,69.4454686732152,69.83017551545736,6484468
2010-03-09,69.00028991699219,69.4069830655338,68.80793872408833,69.39599207003896,7875125
2010-03-10,69.03877258300781,69.44546578925511,68.81344398577545,69.24211918613146,7234345
2010-03-11,70.12694549560547,70.24235973381487,69.08823050933871,69.08823050933871,8286621
2010-03-12,70.31378173828125,70.5501012470366,70.0774622295259,70.2972952486667,5407297
2010-03-15,70.2533950805664,70.53368321955453,69.95112493408915,70.01707534243197,4704594
2010-03-16,70.71501922607422,70.83042910440696,70.04452441114698,70.34679443489152,6417105
2010-03-17,70.21489715576172,70.85791007835162,69.99505962945453,70.84142357964065,6640426
2010-03-18,70.5556411743164,70.75898783189538,70.04452897330653,70.05002447330537,5182302
2010-03-19,70.18740844726562,70.85790318838421,69.67629633580931,70.18740844726562,11238538
2010-03-22,70.33580780029297,70.56114084304778,69.56089405822759,69.85766860074754,5911887
2010-03-23,71.09971618652344,71.1326935656304,70.14893786526177,70.3138116031776,6253511
2010-03-24,70.63807678222656,71.41848596410159,70.60509939900373,70.69303177780867,6976088
2010-03-25,71.02826690673828,71.8471488298938,70.96781203617084,71.09421727591432,7952947
2010-03-26,71.03924560546875,71.32502902713182,70.74247118849127,70.85788541103675,5806137
2010-03-29,70.6710205078125,71.41845638275217,70.48965593989165,71.06122713006417,4856578
