Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2010-01-04,15.555864334106445,15.624368011883234,15.493567368563983,15.560828190523049,78169752
2010-01-05,15.487361907958984,15.582918983435603,15.426553719798234,15.566537689423313,120067812
2010-01-06,15.096944808959961,15.533774571776659,15.049787227822211,15.533774571776659,158988852
2010-01-07,14.745495796203613,15.140132809436482,14.709507835023047,15.125240293435954,256315428
2010-01-08,14.942069053649902,14.97259658055017,14.621643051079802,14.693373044263652,188783028
2010-01-11,14.91948413848877,15.002630629433716,14.744006886730208,15.002630629433716,288227484
2010-01-12,14.655646324157715,14.846262929197316,14.594092808982841,14.833604529246713,193937868
2010-01-13,14.57150936126709,14.603526615743924,14.244135062419383,14.308418331725411,259604136
2010-01-14,14.640010833740234,14.747977546625426,14.465278928932108,14.49233232430774,169434396
2010-01-15,14.395536422729492,14.732094044490792,14.346888167388919,14.726632667041752,217162620
2010-01-19,14.584663391113281,14.65415927752993,14.303454473577993,14.425320562231036,172495332
2010-01-20,14.405710220336914,14.543956640854686,14.278633422013273,14.543956640854686,129897972
2010-01-21,14.469498634338379,14.56480694762187,14.203181305682051,14.480916071614043,252055692
2010-01-22,13.651187896728516,14.162228682717405,13.275166285704259,14.010828212804944,271743984
2010-01-25,13.402739524841309,13.64796046243213,13.291297732927893,13.566301808870703,176619204
2010-01-26,13.462803840637207,13.641010832084872,13.310658987964695,13.352356139948576,174045780
2010-01-27,13.454861640930176,13.5926124461778,13.286334546158347,13.434260879179693,158417424
2010-01-28,13.261017799377441,13.576479002214521,13.16943238041088,13.514181092159438,129034836
2010-01-29,13.153051376342773,13.427311064471787,13.04558123647957,13.365261913381628,165454380
2010-02-01,13.229496002197266,13.298744066857214,13.16198642225082,13.268711223210236,89941968
2010-02-02,13.18233871459961,13.277647026655869,13.095220576356372,13.277647026655869,163684152
2010-02-03,13.423090934753418,13.45486037095013,13.110609189282668,13.121530051207381,119844036
2010-02-04,13.074620246887207,13.353098441703782,13.044339589290864,13.328279160910128,134972892
2010-02-05,13.186558723449707,13.24141085178772,12.967399916296461,13.11482872612867,126113760
2010-02-08,13.240665435791016,13.452380348528314,13.192515649128557,13.216590542459787,107664228
2010-02-09,13.314380645751953,13.440714008965985,13.28037709386677,13.39132231283546,112671216
2010-02-10,13.26499080657959,13.347888539613395,13.097207149386197,13.255558721942904,106873020
2010-02-11,13.313387870788574,13.414901954482094,13.142131034137758,13.236942776372604,96303600
