Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2012-05-18,37.93232345581055,44.649609624651944,37.70411479415053,41.72257890337034,573576400
2012-05-21,33.76502990722656,36.3745529135857,32.74305104049431,36.24556407696098,168192700
2012-05-22,30.758621215820312,33.3284545591225,30.699088930463112,32.35608569746687,101786600
2012-05-23,31.750837326049805,32.24694415926933,31.11582118512797,31.125743548892046,73600000
2012-05-24,32.7728157043457,32.9514144644507,31.522628168605454,32.693440580407206,50237200
2012-05-25,31.661537170410156,32.69344026667106,30.867767013668946,32.643830341561234,37149800
2012-05-29,28.615442276000977,31.44325160231992,28.426921149580412,31.234885748381952,78063400
2012-05-30,27.970502853393555,29.319912107820397,27.643072430095465,28.476532033490116,57267900
2012-05-31,29.369525909423828,29.438980565650073,26.62109350520213,28.327700388537842,111639200
2012-06-01,27.504159927368164,28.923025658392614,27.17672951963154,28.665049898888423,41855500
2012-06-04,26.69054412841797,27.434704291250238,26.234126803612813,26.988209329049173,35230300
2012-06-05,25.668567657470703,27.543850828401084,25.54950118816683,26.4921049016224,42473400
2012-06-06,26.60124969482422,26.95844724488073,25.32129496128423,25.86701175831723,61489200
2012-06-07,26.105138778686523,27.137041811027764,25.94638475717206,26.789766679278415,26159500
2012-06-08,26.88899040222168,27.54385126246974,26.234129541973623,26.343271757016726,38034000
2012-06-11,26.79969024658203,27.851436159505862,26.631013854580324,26.96836663858374,28219600
2012-06-12,27.1866512298584,27.553771080626223,26.750076732525702,27.26602823914642,15816800
2012-06-13,27.05766487121582,27.881202069667882,26.88898848635228,27.444627563109794,17102800
2012-06-14,28.069725036621094,28.099490234890684,27.16680887499747,27.434707014407866,16855000
2012-06-15,29.776330947875977,29.865630325029503,28.12925649092892,28.288010518646903,43563800
2012-06-18,31.16543197631836,31.830217119478156,29.181004588370687,29.726721363057326,42978900
2012-06-19,31.661537170410156,31.929435307996815,30.46095957177691,31.294419182603846,30849000
2012-06-20,31.35395050048828,31.681380916568653,30.90745361833447,31.671458553354427,15553600
2012-06-21,31.59208106994629,32.2469418923606,31.264650658739136,31.423404682809437,21875300
2012-06-22,32.792659759521484,33.18954672606421,31.810370384069905,32.15764364104882,74834000
2012-06-25,31.810367584228516,32.76289167809954,31.30433655717595,32.60413766245437,24352900
2012-06-26,32.842262268066406,33.17961497795262,32.246935737676054,32.435454922467784,24858700
2012-06-27,31.979045867919922,32.643830989571114,31.651615435202213,32.207254555951,28568000
2012-06-28,31.115819931030273,31.939355272785495,30.659400678765273,31.71114659290165,17713300
2012-06-29,30.85784339904785,31.740912899181463,30.520490622986127,31.671458249844743,19526900
2012-07-02,30.530410766601562,31.48293484682518,30.312122578844146,31.00667280671337,14122000
2012-07-03,30.957067489624023,31.195198545082988,30.560180504695012,30.669324614800228,8763600
2012-07-05,31.22496223449707,31.383716263794057,30.77846723678579,31.07613056859331,10032100
2012-07-06,31.482938766479492,31.651615163248263,31.01659903070577,31.195197791107685,10945600
2012-07-09,31.919511795043945,32.62398637398399,31.740914924992552,31.850057141274398,17785200
2012-07-10,31.22496223449707,32.227098227245115,30.917376539296324,32.1774883027763,14269500
2012-07-11,30.72885513305664,31.31426132031273,30.31212533691667,31.23488430640499,13030300
2012-07-12,30.570100784301758,31.155506965411977,30.36173683466792,30.460958574135244,11300700
2012-07-13,30.480798721313477,30.828073832590057,30.32204470915797,30.798308638121593,8108300
2012-07-16,28.03003692626953,30.262517743406043,27.99034747001056,30.262517743406043,24672100
2012-07-17,27.87128257751465,28.367389420272122,26.938601183231324,28.258245309266304,30438600
2012-07-18,28.883337020874023,29.061935762517592,27.930811029607383,28.089565046068966,16841800
2012-07-19,28.774194717407227,29.270301522879766,28.40707484865875,29.181002146494926,13685100
2012-07-20,28.536060333251953,29.24053100605532,28.496370885067343,28.77419134486846,11869100
2012-07-23,28.526140213012695,28.774193606169327,27.79190239636873,27.901046494956752,12390700
2012-07-24,28.228477478027344,29.220691071033617,27.8812023419757,28.59559544764121,11539800
2012-07-25,29.111547470092773,29.26037913309993,27.861358094337575,28.168943783552,17230200
2012-07-26,26.64093780517578,28.01019185697648,26.52187133034652,27.533929742654273,64597400
2012-07-27,23.5253849029541,24.348924055197493,22.106520962907705,23.00943523952694,123102300
2012-07-30,22.969743728637695,23.85281509136093,22.850679160234982,23.813125640228563,29285900
2012-07-31,21.540956497192383,23.18803282572797,21.441736650501152,23.18803282572797,56179400
2012-08-01,20.717418670654297,21.411968932075936,20.677731111642974,21.332591921556084,44604400
2012-08-02,19.883962631225586,20.677732801285597,19.66567441508606,20.608278147967518,56374500
2012-08-03,20.925785064697266,21.98745331842821,19.745050345759434,20.201469587805704,80647000
2012-08-06,21.749324798583984,21.977533499779813,21.134151460037092,21.223450846156762,27778900
2012-08-07,20.55866241455078,22.27519315573557,20.34037613247678,22.02713978826634,36782900
2012-08-08,20.55866241455078,20.985314509397377,20.062555679612323,20.548740052752372,29537400
2012-08-09,20.846406936645508,21.005160953428852,20.44952189468714,20.58843118624828,15610700
2012-08-10,21.64017677307129,21.650099135568915,20.965471263209853,21.243291735651955,25794700
2012-08-13,21.431812286376953,22.275194151991922,21.2333688265274,21.97752896221759,24973100
2012-08-14,20.221311569213867,21.43181332655207,20.092324638799347,21.24329221979499,39308800
2012-08-15,21.03492546081543,21.24328937259622,20.241153581777024,20.479284577739467,47861100
2012-08-16,19.71528434753418,20.320533334619466,19.53668560323134,20.280845776161716,157565300
2012-08-17,18.901670455932617,19.923651260555566,18.852060527333357,19.854196603517618,129293400
2012-08-20,19.85419464111328,19.973259214982054,18.604005260507503,18.901668587676713,101186600
2012-08-21,19.010812759399414,19.824427622928415,18.94135810897581,19.42754255443833,70640600
2012-08-22,19.288633346557617,19.37793272396045,18.81236936957675,19.209256332477022,49892200
2012-08-23,19.288633346557617,19.576374312913288,19.209256332477022,19.34816563399374,32813700
2012-08-24,19.258867263793945,19.526765410013017,19.100113227330215,19.368011373549287,29622200
2012-08-27,19.000892639160156,19.377934918108142,18.951282709428977,19.338245460325194,20704000
2012-08-28,19.189411163330078,19.229098723206544,18.80244846517259,18.951280126579526,25417000
2012-08-29,18.951282501220703,19.22910113265906,18.921515408210528,19.169568839136197,16124700
2012-08-30,18.941360473632812,19.29855802611541,18.91159338009342,19.11995924987411,30647500
2012-08-31,17.91937828063965,18.55439631386926,17.88961308185369,18.53455158634703,58764200
2012-09-04,17.591947555541992,18.127743834795787,17.41334879579073,17.939222711447524,46622400
2012-09-05,18.435325622558594,18.604001982903462,18.03844062542271,18.1277399863404,60781800
2012-09-06,18.812368392944336,19.110033599666437,18.574237363064974,18.59408208867922,46066500
2012-09-07,18.83221435546875,19.268788885170633,18.63377276378413,18.95128082447738,36371700
2012-09-10,18.663537979125977,19.0505025843931,18.405562206447,18.911591388336838,24797800
2012-09-11,19.278711318969727,19.42754298640055,18.703227483739166,18.77268213570706,50508200
2012-09-12,20.767030715942383,20.995239387162197,20.12209226173553,20.598354330150077,121584000
2012-09-13,20.548744201660156,21.312749181921596,20.44952434863702,20.796797619212775,65041600
2012-09-14,21.828699111938477,21.908076123918363,20.737263777842102,20.96547245072212,72819800
2012-09-17,21.352439880371094,22.5728623115895,21.332595151612054,22.493485289050845,50667600
2012-09-18,21.69971466064453,21.808856881797194,21.203607805867538,21.431816504865566,36760500
2012-09-19,23.108657836914062,23.188034856717866,21.600492568144336,21.818778899480442,78782800
2012-09-20,22.414108276367188,23.059046821339525,22.36449834694528,22.840760482386617,57248900
2012-09-21,22.6820011138916,23.05904140950222,22.42402537794873,22.791143311504197,51218100
2012-09-24,20.628124237060547,21.808857206405957,20.201472032802336,21.610415597039978,79106500
2012-09-25,20.122093200683594,21.044850291608512,20.062559019980835,21.03492982065537,46291700
